el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
886.6439999999999,822.49,863.6139999999999,893.2239999999999,1,4,1,1,evgen978307200.0,0,1
886.6439999999999,802.75,860.324,870.194,1,4,1,1,evgen978307200.0,0,1
914.6089999999999,783.01,861.9689999999999,893.2239999999999,1,4,1,1,evgen978307200.0,0,1
894.8689999999999,796.17,870.194,911.319,1,4,1,1,evgen978307200.0,0,1
891.579,796.17,870.194,901.449,1,4,1,1,evgen978307200.0,0,1
878.419,822.49,865.2589999999999,883.3539999999999,1,4,1,1,evgen978307200.0,0,1
926.123,861.9689999999999,865.2589999999999,878.419,1,4,1,1,evgen978307200.0,0,1
929.413,861.9689999999999,865.2589999999999,889.934,1,4,1,1,evgen978307200.0,0,1
922.834,822.49,860.324,896.5139999999999,1,4,1,1,evgen978307200.0,0,1
889.934,888.289,858.679,873.4839999999999,1,4,1,1,evgen978307200.0,0,1
866.904,914.6089999999999,850.454,883.3539999999999,1,4,1,1,evgen978307200.0,0,1
911.319,875.1289999999999,853.7439999999999,903.0939999999999,1,4,1,1,evgen978307200.0,0,1
909.674,829.07,850.454,912.9639999999999,1,4,1,1,evgen978307200.0,0,1
904.7389999999999,736.951,847.164,922.834,1,4,1,1,evgen978307200.0,0,1
896.5139999999999,809.33,852.0989999999999,893.2239999999999,1,4,1,1,evgen978307200.0,0,1
921.188,855.3889999999999,860.324,889.934,1,4,1,1,evgen978307200.0,0,1
908.029,878.419,855.3889999999999,898.159,1,1,1,1,evgen978307200.0,0,1
901.449,886.6439999999999,850.454,883.3539999999999,1,1,1,1,evgen978307200.0,0,1
871.8389999999999,852.0989999999999,847.164,868.549,1,1,1,1,evgen978307200.0,0,1
883.3539999999999,789.59,843.8739999999999,896.5139999999999,1,1,1,1,evgen978307200.0,0,1
917.8989999999999,878.419,850.454,891.579,1,1,1,1,evgen978307200.0,0,1
919.544,787.945,847.164,904.7389999999999,1,1,1,1,evgen978307200.0,0,1
899.804,809.33,847.164,884.9989999999999,1,1,1,1,evgen978307200.0,0,1
894.8689999999999,797.815,845.5189999999999,894.8689999999999,1,1,1,1,evgen978307200.0,0,1
916.2539999999999,792.88,855.3889999999999,916.2539999999999,1,1,1,1,evgen978307200.0,0,1
912.9639999999999,852.0989999999999,861.9689999999999,888.289,1,1,1,1,evgen978307200.0,0,1
894.8689999999999,796.17,855.3889999999999,889.934,1,1,1,1,evgen978307200.0,0,1
880.064,873.4839999999999,850.454,878.419,1,1,1,1,evgen978307200.0,0,1
912.9639999999999,850.454,855.3889999999999,868.549,1,1,1,1,evgen978307200.0,0,1
919.544,830.715,853.7439999999999,883.3539999999999,1,1,1,1,evgen978307200.0,0,1
871.8389999999999,804.395,853.7439999999999,883.3539999999999,1,1,1,1,evgen978307200.0,0,1
853.7439999999999,758.335,858.679,884.9989999999999,1,1,1,1,evgen978307200.0,0,1
876.7739999999999,838.94,866.904,896.5139999999999,1,1,1,1,evgen978307200.0,0,1
911.319,860.324,871.8389999999999,901.449,1,1,1,1,evgen978307200.0,0,1
908.029,857.034,873.4839999999999,891.579,1,1,1,1,evgen978307200.0,0,1
886.6439999999999,827.425,863.6139999999999,880.064,1,1,1,1,evgen978307200.0,0,1
876.7739999999999,801.105,863.6139999999999,880.064,1,1,1,1,evgen978307200.0,0,1
884.9989999999999,819.2,861.9689999999999,878.419,1,1,1,1,evgen978307200.0,0,1
909.674,865.2589999999999,865.2589999999999,873.4839999999999,1,1,1,1,evgen978307200.0,0,1
880.064,863.6139999999999,861.9689999999999,871.8389999999999,1,1,1,1,evgen978307200.0,0,1
865.2589999999999,814.265,850.454,886.6439999999999,1,1,1,1,evgen978307200.0,0,1
880.064,837.295,857.034,883.3539999999999,1,1,1,1,evgen978307200.0,0,1
919.544,827.425,860.324,878.419,1,1,1,1,evgen978307200.0,0,1
903.0939999999999,820.845,848.809,883.3539999999999,1,1,1,1,evgen978307200.0,0,1
863.6139999999999,827.425,847.164,852.0989999999999,1,1,1,1,evgen978307200.0,0,1
888.289,820.845,850.454,888.289,1,1,1,1,evgen978307200.0,0,1
