el1,el2,el3,el4,quality1,quality2,quality3,quality4,name,imageID,imageSTEP
776.43,809.33,842.2289999999999,880.064,2,1,1,2,olesia978307200.0,0,1
802.75,787.945,873.4839999999999,922.834,2,1,1,2,olesia978307200.0,0,1
829.07,769.85,868.549,921.188,2,1,1,2,olesia978307200.0,0,1
855.3889999999999,830.715,883.3539999999999,909.674,2,1,1,2,olesia978307200.0,0,1
829.07,787.945,855.3889999999999,947.508,2,1,1,2,olesia978307200.0,0,1
776.43,832.36,894.8689999999999,917.8989999999999,2,1,1,2,olesia978307200.0,0,1
776.43,861.9689999999999,926.123,922.834,2,1,1,2,olesia978307200.0,0,1
802.75,835.65,912.9639999999999,903.0939999999999,2,1,1,2,olesia978307200.0,0,1
802.75,820.845,873.4839999999999,891.579,2,1,1,2,olesia978307200.0,0,1
855.3889999999999,792.88,903.0939999999999,932.703,2,1,1,2,olesia978307200.0,0,1
829.07,789.59,889.934,942.573,2,1,1,2,olesia978307200.0,0,1
802.75,801.105,866.904,959.023,2,1,1,2,olesia978307200.0,0,1
829.07,840.584,893.2239999999999,937.638,2,1,1,2,olesia978307200.0,0,1
829.07,829.07,883.3539999999999,893.2239999999999,2,1,1,2,olesia978307200.0,0,1
829.07,830.715,916.2539999999999,960.668,2,1,1,2,olesia978307200.0,0,1
776.43,789.59,840.584,1005.08,2,1,1,2,olesia978307200.0,0,1
857.034,829.07,904.7389999999999,916.2539999999999,2,1,1,2,olesia978307200.0,0,1
801.105,799.46,834.005,908.029,2,1,1,2,olesia978307200.0,0,1
783.01,830.715,873.4839999999999,921.188,2,1,1,2,olesia978307200.0,0,1
847.164,850.454,904.7389999999999,990.278,2,1,1,2,olesia978307200.0,0,1
817.555,781.365,838.94,990.278,2,1,1,2,olesia978307200.0,0,1
796.17,796.17,884.9989999999999,889.934,2,1,1,2,olesia978307200.0,0,1
875.1289999999999,819.2,906.3839999999999,903.0939999999999,2,1,1,2,olesia978307200.0,0,1
842.2289999999999,837.295,871.8389999999999,931.058,2,1,1,2,olesia978307200.0,0,1
817.555,843.8739999999999,881.709,960.668,2,1,1,2,olesia978307200.0,0,1
834.005,809.33,861.9689999999999,972.183,2,1,1,2,olesia978307200.0,0,1
842.2289999999999,819.2,878.419,945.863,2,1,1,2,olesia978307200.0,0,1
842.2289999999999,825.78,878.419,931.058,2,1,1,2,olesia978307200.0,0,1
817.555,819.2,866.904,967.248,2,1,1,2,olesia978307200.0,0,1
814.265,797.815,871.8389999999999,965.6030000000001,2,1,1,2,olesia978307200.0,0,1
852.0989999999999,784.655,857.034,944.2180000000001,2,1,1,2,olesia978307200.0,0,1
848.809,787.945,835.65,959.023,2,1,1,2,olesia978307200.0,0,1
865.2589999999999,835.65,939.283,914.6089999999999,2,1,1,2,olesia978307200.0,0,1
815.91,843.8739999999999,855.3889999999999,929.413,2,1,1,2,olesia978307200.0,0,1
812.62,830.715,868.549,939.283,2,1,1,2,olesia978307200.0,0,1
850.454,832.36,889.934,937.638,2,1,1,2,olesia978307200.0,0,1
834.005,822.49,840.584,967.248,2,1,1,2,olesia978307200.0,0,1
853.7439999999999,825.78,896.5139999999999,932.703,2,1,1,2,olesia978307200.0,0,1
829.07,794.525,870.194,934.3480000000001,2,1,1,2,olesia978307200.0,0,1
807.685,779.72,834.005,939.283,2,1,1,2,olesia978307200.0,0,1
838.94,837.295,865.2589999999999,899.804,2,1,1,2,olesia978307200.0,0,1
883.3539999999999,855.3889999999999,927.768,921.188,2,1,1,2,olesia978307200.0,0,1
871.8389999999999,845.5189999999999,906.3839999999999,950.798,2,1,1,2,olesia978307200.0,0,1
850.454,799.46,871.8389999999999,996.8580000000001,2,1,1,2,olesia978307200.0,0,1
835.65,756.691,835.65,914.6089999999999,2,1,1,2,olesia978307200.0,0,1
804.395,801.105,860.324,898.159,2,1,1,2,olesia978307200.0,0,1
886.6439999999999,843.8739999999999,881.709,944.2180000000001,2,1,1,2,olesia978307200.0,0,1
870.194,820.845,875.1289999999999,955.7330000000001,2,1,1,2,olesia978307200.0,0,1
815.91,819.2,860.324,899.804,2,1,1,2,olesia978307200.0,0,1
840.584,809.33,857.034,914.6089999999999,2,1,1,2,olesia978307200.0,0,1
858.679,819.2,922.834,891.579,2,1,1,2,olesia978307200.0,0,1
886.6439999999999,817.555,855.3889999999999,906.3839999999999,2,1,1,2,olesia978307200.0,0,1
840.584,824.135,815.91,919.544,2,1,1,2,olesia978307200.0,0,1
820.845,802.75,832.36,861.9689999999999,2,1,1,2,olesia978307200.0,0,1
852.0989999999999,807.685,842.2289999999999,912.9639999999999,2,1,1,2,olesia978307200.0,0,1
863.6139999999999,817.555,883.3539999999999,942.573,2,1,1,2,olesia978307200.0,0,1
880.064,786.3,852.0989999999999,932.703,2,1,1,2,olesia978307200.0,0,1
884.9989999999999,809.33,845.5189999999999,889.934,2,1,1,2,olesia978307200.0,0,1
868.549,806.04,860.324,873.4839999999999,2,1,1,2,olesia978307200.0,0,1
834.005,789.59,815.91,908.029,2,1,1,2,olesia978307200.0,0,1
815.91,817.555,837.295,924.4780000000001,2,1,1,2,olesia978307200.0,0,1
848.809,825.78,873.4839999999999,881.709,2,1,1,2,olesia978307200.0,0,1
891.579,825.78,883.3539999999999,883.3539999999999,2,1,1,2,olesia978307200.0,0,1
886.6439999999999,842.2289999999999,912.9639999999999,881.709,2,1,1,2,olesia978307200.0,0,1
806.04,807.685,819.2,917.8989999999999,2,1,1,2,olesia978307200.0,0,1
842.2289999999999,825.78,857.034,901.449,2,1,1,2,olesia978307200.0,0,1
870.194,857.034,860.324,842.2289999999999,2,1,1,2,olesia978307200.0,0,1
