
723.791,817.555,973.828,727.081,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
723.791,814.265,980.408,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,819.2,973.828,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,822.49,975.473,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,827.425,983.698,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,834.005,986.988,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,834.005,983.698,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,842.229,1000.15,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,848.809,1011.66,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,853.744,1014.95,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,852.099,1014.95,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,853.744,1014.95,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,855.389,1014.95,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,858.679,1028.11,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,858.679,1046.21,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,863.614,1042.92,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,866.904,1036.34,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,865.259,1039.63,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,871.839,1042.92,727.081,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
776.43,868.549,1042.92,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,863.614,1049.5,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,868.549,1049.5,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,870.194,1044.56,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,868.549,1047.85,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,870.194,1037.98,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,871.839,1036.34,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,871.839,1036.34,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,884.999,1041.27,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,888.289,1047.85,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,894.869,1037.98,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,898.159,1049.5,806.04,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
750.111,898.159,1049.5,753.401,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
783.01,899.804,1047.85,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
848.809,894.869,1054.43,845.519,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
835.65,898.159,1056.08,832.36,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
763.27,904.739,1061.01,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
756.691,904.739,1065.95,773.14,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
829.07,898.159,1061.01,838.94,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
861.969,894.869,1059.37,865.259,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
802.75,899.804,1062.66,799.46,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
769.85,904.739,1070.88,759.98,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
809.33,912.964,1074.17,799.46,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
875.129,917.899,1074.17,858.679,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
848.809,924.478,1077.46,838.94,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
783.01,934.348,1085.69,779.72,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
796.17,945.863,1085.69,792.88,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
861.969,952.443,1084.04,858.679,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
875.129,957.378,1079.11,871.839,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
815.91,968.893,1082.4,799.46,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
815.91,975.473,1084.04,799.46,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
868.549,980.408,1088.98,852.099,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
921.188,982.053,1088.98,904.739,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
894.869,985.343,1092.27,878.419,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
842.229,991.923,1093.91,825.78,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
842.229,1000.15,1100.49,825.78,2,1,1,2,stas23.08morningafterbigbreakfast978307200.0,0,1
